stock_code,stockId,name,market
04406,175934,AZORB IV N2801,SEHK
04407,1000136102,GZ DDH B2701,SEHK
04408,1000136103,LINK FIN N3201,SEHK
00420,831,FOUNTAIN SET,SEHK
00460,54111,SIHUAN PHARM,SEHK
04701,1000211554,AIR AUTH B2608,SEHK
00430,857,ORIENTAL EXPL,SEHK
04304,1000213214,ZJ XC INV B2701,SEHK
04305,1000213506,JIAN CHG N2701,SEHK
04309,1000213507,CICCMTN N2701,SEHK
00520,115713,XIABUXIABU,SEHK
05200,1000150938,TCCL FIN B2704,SEHK
05201,1000232654,HAIXI OSI B2709,SEHK
05203,1000232765,GF FH B2709,SEHK
05204,1000232766,CMBC N2709,SEHK
05206,1000232655,CQILHP N2709,SEHK
05207,1000151553,NANYANG NCSCS B,SEHK
05208,1000232867,WH METRO N2709,SEHK
52023,1000218178,UB#HSI  RC2607E,SEHK
05300,1000240281,YC HT INV B2711,SEHK
05301,1000240282,TS FIN B2611,SEHK
05303,1000241027,NANXUN B2711,SEHK
05307,1000241358,CEBHK N2711,SEHK
05308,148395,CFAMC II N2611,SEHK
05309,1000001765,GRNL GLB N2806,SEHK
53008,1000264393,JP#AIA  RC2710J,SEHK
53010,1000235761,HS#AIA  RP2703B,SEHK
53012,1000235941,HS#PINANRP2604D,SEHK
53013,1000264476,JP#PINANRC2604A,SEHK
00480,1000,HKR INT'L,SEHK
00540,82615,SPEEDY GLOBAL,SEHK
05400,1000246049,CLP PHKF PSGCSC,SEHK
05403,1000245717,YANKUANG B2801,SEHK
05404,1000245718,BOCOM N2801,SEHK
05406,1000245798,LS ETD B2801,SEHK
05407,153472,AZURE NVA N2703,SEHK
54000,1000236134,SG#XIAMIRC2511A,SEHK
54002,1000271573,HS#MTUANRC2611C,SEHK
54008,1000281682,CI#HSI  RP2804S,SEHK
54009,1000281532,CI#HSI  RP2802M,SEHK
05005,1000225417,JZBD B2706,SEHK
05006,167218,VKEREHK N2711,SEHK
05009,1000225533,NANCHANG B2705,SEHK
50006,1000232972,CI#HSI  RC2709A,SEHK
50008,1000216654,JP#WUXI RC2606A,SEHK
00510,21728,CASH FIN SER GP,SEHK
05107,1000227968,TZ URBAN B2707,SEHK
05109,1000149326,CHIYUBANK B3204,SEHK
51002,1000233867,UB#HSI  RC2709I,SEHK
51003,1000233772,UB#HSI  RC2709J,SEHK
